position, player, projection, salary
QB,Newton Cam,35.06,7900
QB,Flacco Joe,32.24,7000
QB,Brady Tom,30.74,7900
QB,Kaepernick Colin,29.42,7800
QB,Carr Derek,26.48,5700
QB,Rodgers Aaron,25.96,9600
QB,Rivers Philip,25.82,9100
QB,Luck Andrew,25.6,9900
QB,Cutler Jay,22.34,8500
QB,Manning Peyton,21.48,10200
QB,Dalton Andy,21.42,7700
QB,Tannehill Ryan,20.66,7000
QB,Bortles Blake,20.24,6400
QB,Glennon Mike,19.56,6400
QB,Cousins Kirk,19.16,7600
QB,Orton Kyle,18.96,6500
QB,Palmer Carson,17.7,6900
QB,Foles Nick,16.42,8100
QB,Romo Tony,15.9,7400
QB,Smith Geno,15.7,6900
QB,Ryan Matt,13.74,8700
QB,Roethlisberger Ben,12.82,7600
QB,Hoyer Brian,12.68,6500
QB,Davis Austin,12.34,7800
QB,Stafford Matthew,11.5,8600
QB,Wilson Russell,11.24,8400
QB,Fitzpatrick Ryan,10.98,6400
QB,Whitehurst Charlie,9.42,6700
QB,Manning Eli,6.34,7200
QB,Bridgewater Teddy,5.62,5900
QB,Nassib Ryan,2.4,5000
QB,Manziel Johnny,0,5500
QB,Gradkowski Bruce,0,5000
QB,Taylor Tyrod,-0.3,5000
RB,Forte Matt,32.7,9000
RB,Foster Arian,27.6,8900
RB,Bernard Giovani,23.7,8700
RB,Murray DeMarco,23.6,9300
RB,Oliver Branden,20.4,6200
RB,Tate Ben,19.8,6800
RB,Bell Joique,16.7,6500
RB,Riddick Theo,16.6,4500
RB,McCoy LeSean,16.4,8000
RB,Smith Antone,14.9,5800
RB,Miller Lamar,14.8,6900
RB,Bradshaw Ahmad,13.4,6200
RB,Hillman Ronnie,13.1,5900
RB,Bell Le'Veon,12.5,8600
RB,Ellington Andre,12.3,7200
RB,Jackson Fred,12.3,6800
RB,Whittaker Fozzy,12.2,4500
RB,Crowell Isaiah,11.7,5200
RB,Hill Jeremy,11.5,5000
RB,McKinnon Jerick,11.2,5900
RB,Forsett Justin,11.1,6300
RB,Cunningham Benny,10.3,5600
RB,Richardson Trent,10.1,6000
RB,Sproles Darren,9.9,6100
RB,McFadden Darren,9.6,5700
RB,Pierce Bernard,9.2,5200
RB,McCluster Dexter,8.8,4500
RB,Johnson Storm,8.2,4800
RB,Helu Roy,7.6,5400
RB,Sankey Bishop,7.3,5600
RB,Lynch Marshawn,6.7,9200
RB,Hillis Peyton,6.7,4600
RB,Dunbar Lance,6.4,4700
RB,Battle Jackie,6.1,4500
RB,Morris Alfred,6,7600
RB,Williams Andre,5.8,6300
RB,Mason Tre,5.7,5500
RB,Taliaferro Lorenzo,5.7,5500
RB,Martin Doug,5.3,6900
RB,Randle Joseph,5.2,4600
RB,Starks James,5.2,6300
RB,Robinson Denard,5.1,5500
RB,Jones-Drew Maurice,4.5,5600
RB,Stacy Zac,4.4,7200
RB,Thompson Juwan,4.3,5700
RB,Rainey Bobby,4.2,6000
RB,Freeman Devonta,4.1,5300
RB,Lacy Eddie,4,8100
RB,Juszczyk Kyle,3.9,5200
RB,Gore Frank,3.8,7200
RB,Ridley Stevan,3.4,6300
RB,Brown Ronnie,3.1,4900
RB,Ta'ufo'ou Will,3,4500
RB,Archer Dri,2.9,4500
RB,Blount LeGarrette,2.7,4800
RB,Ivory Chris,2.6,5600
RB,Jackson Steven,2.5,6700
RB,Reaves Darrin,2.4,5400
RB,Moreno Knowshon,2.3,6700
RB,Dixon Anthony,2.3,4500
RB,Blue Alfred,2.2,5300
RB,Miller Bruce,2,4500
RB,Hyde Carlos,2,5800
RB,Carey Ka'Deem,1.9,4600
RB,Reece Marcel,1.8,4600
RB,Asiata Matt,1.8,6600
RB,Washington Leon,1.7,4500
RB,Winn George,1.6,5100
RB,Johnson Chris,1.6,6800
RB,Kuhn John,1.5,4500
RB,Taylor Stepfan,1.5,4900
RB,Rodgers Jacquizz,1.4,4700
RB,Vereen Shane,1.2,6200
RB,Hughes Robert,1.2,4500
RB,Bolden Brandon,1,4500
RB,Turbin Robert,1,4500
RB,Olawale Jamize,1,4500
RB,Develin James,0.7,4500
RB,Todman Jordan,0.6,4600
RB,Clutts Tyler,0.6,4500
WR,Hilton T.Y.,32.8,7000
WR,Holmes Andre,26.1,4700
WR,LaFell Brandon,23.7,4500
WR,Thomas Demaryius,23.4,9100
WR,Sanu Mohamed,23,6000
WR,Nelson Jordy,21.2,8500
WR,Jackson DeSean,19.5,7100
WR,Smith Steve,19.5,7200
WR,Woods Robert,19.3,5000
WR,Smith Torrey,19.1,5200
WR,Boldin Anquan,18.9,6300
WR,Floyd Malcom,18.8,5300
WR,Fitzgerald Larry,18.8,6300
WR,Johnson Andre,17.4,6600
WR,Murphy Louis,16.7,5700
WR,Landry Jarvis,16.5,4500
WR,Jeffery Alshon,16.1,7700
WR,Hogan Chris,15.7,4500
WR,Wallace Mike,15.2,6500
WR,Brown Antonio,15.1,8900
WR,Edelman Julian,14.6,7200
WR,Lloyd Brandon,14.5,5300
WR,Benjamin Kelvin,14.4,6600
WR,Decker Eric,14.4,6400
WR,Cobb Randall,14.4,8200
WR,Marshall Brandon,14.3,7900
WR,Jones James,14.1,5300
WR,Butler Brice,13.9,4500
WR,Evans Mike,13.5,5900
WR,Shorts Cecil,13.3,6200
WR,Floyd Michael,12.7,6300
WR,Tate Brandon,12.7,4500
WR,Crabtree Michael,12.4,6700
WR,Royal Eddie,11.9,6000
WR,Garcon Pierre,11.1,7300
WR,Robinson Allen,10.8,5400
WR,Tyms Brian,10.8,4500
WR,Adams Davante,10.7,4900
WR,Campanaro Michael,9.8,4500
WR,Hunter Justin,9.2,5900
WR,Moore Lance,9.1,4800
WR,Aiken Kamar,9,4500
WR,Jones Julio,8.9,9000
WR,Jackson Vincent,8.6,7400
WR,Cooper Riley,8.4,5400
WR,Bryant Dez,8.3,8900
WR,Randle Rueben,8.3,5900
WR,Williams Terrance,8,6900
WR,Tate Golden,7.9,6400
WR,Cotchery Jerricho,7.8,5000
WR,Johnson Steve,7.8,5700
WR,Kearse Jermaine,7.7,4600
